water_flow,water_head,turbine_type,turbine_type_encoded,turbine_age,water_temperature,season,season_encoded,maintenance_days,reservoir_level,efficiency,power_output
92.54,48.63,Kaplan,0,8.34,12.67,Fall,2,5,73.49,0.8073,2.9054
123.68,66.92,Pelton,2,1.57,17.85,Summer,1,1,91.83,0.8803,6.1357
81.95,44.79,Francis,1,11.78,10.25,Winter,3,9,65.67,0.7721,2.2683
117.42,61.53,Kaplan,0,2.45,18.37,Spring,0,2,88.29,0.8715,5.5962
93.28,50.32,Pelton,2,7.89,13.45,Fall,2,4,74.91,0.8118,3.0514
105.76,54.87,Francis,1,5.42,14.98,Winter,3,3,80.15,0.8332,3.8464
89.63,47.94,Kaplan,0,9.34,11.76,Spring,0,7,71.38,0.7978,2.7561
122.85,64.51,Pelton,2,2.13,18.74,Summer,1,1,90.72,0.8756,6.2039
84.97,45.63,Francis,1,10.21,10.67,Fall,2,8,67.45,0.7836,2.4382
113.26,58.45,Kaplan,0,3.89,17.25,Winter,3,3,85.83,0.8587,4.8127
97.94,51.78,Pelton,2,6.23,13.82,Spring,0,4,78.31,0.8265,3.3256
111.58,57.29,Francis,1,4.57,15.49,Summer,1,2,83.97,0.8441,4.5824
91.82,49.12,Kaplan,0,8.67,12.23,Fall,2,6,72.74,0.8025,2.8843
125.73,68.73,Pelton,2,1.46,19.15,Summer,1,1,94.18,0.8816,6.4037
83.14,44.96,Francis,1,11.34,10.34,Winter,3,10,66.32,0.7703,2.3124
118.21,62.36,Kaplan,0,2.78,18.62,Spring,0,3,89.15,0.8728,5.7109
95.37,50.89,Pelton,2,7.12,13.17,Fall,2,4,76.84,0.8192,3.1776
107.84,56.42,Francis,1,5.35,15.24,Winter,3,3,82.31,0.8352,4.0376
90.25,48.75,Kaplan,0,9.15,11.98,Spring,0,6,72.05,0.8014,2.8247
121.97,65.28,Pelton,2,1.94,19.38,Summer,1,1,91.28,0.8775,6.2586
86.39,46.84,Francis,1,10.57,10.83,Fall,2,8,69.78,0.7858,2.5346
115.87,60.82,Kaplan,0,3.24,17.73,Winter,3,3,87.27,0.8615,5.4276
98.76,52.34,Pelton,2,6.78,13.58,Spring,0,4,79.42,0.8283,3.3984
110.29,57.83,Francis,1,4.89,15.76,Summer,1,2,84.52,0.8465,4.6387
92.18,49.47,Kaplan,0,8.43,12.45,Fall,2,5,73.21,0.8048,2.9387
124.52,67.29,Pelton,2,1.72,19.53,Summer,1,1,93.46,0.8785,6.3521
82.57,45.38,Francis,1,11.67,10.57,Winter,3,9,66.94,0.7731,2.3537
119.34,63.17,Kaplan,0,2.56,18.89,Spring,0,2,90.32,0.8741,5.8371
96.19,51.56,Pelton,2,6.91,13.74,Fall,2,4,77.63,0.8214,3.2532
108.76,56.98,Francis,1,5.01,15.42,Winter,3,3,83.17,0.8374,4.1238
91.43,49.25,Kaplan,0,8.78,12.13,Spring,0,5,73.84,0.8037,2.8872
123.25,66.37,Pelton,2,1.85,19.27,Summer,1,1,92.51,0.8769,6.3178
85.28,46.52,Francis,1,10.34,10.76,Fall,2,8,68.45,0.7875,2.4853
116.73,61.24,Kaplan,0,3.46,17.51,Winter,3,3,88.14,0.8603,5.5424
99.35,53.17,Pelton,2,6.52,14.03,Spring,0,4,80.23,0.8305,3.4769
112.47,58.63,Francis,1,4.65,16.12,Summer,1,2,85.79,0.8486,4.7532
93.82,50.31,Kaplan,0,8.21,12.76,Fall,2,5,74.57,0.8073,3.0179
126.38,69.45,Pelton,2,1.37,19.64,Summer,1,1,95.32,0.8826,6.5234
84.46,45.94,Francis,1,11.12,10.92,Winter,3,9,67.81,0.7776,2.4128
120.56,64.28,Kaplan,0,2.23,19.05,Spring,0,2,91.67,0.8764,6.0175
97.63,52.84,Pelton,2,6.34,14.15,Fall,2,4,78.95,0.8236,3.3701
109.82,57.51,Francis,1,4.83,15.83,Winter,3,3,84.29,0.8398,4.2064
92.74,49.78,Kaplan,0,8.59,12.37,Spring,0,5,74.13,0.8062,2.9645
124.91,67.58,Pelton,2,1.63,19.42,Summer,1,1,93.82,0.8795,6.3862
